FLOW_UUID,FLOW,INTERACTION_UUID,CHANNEL_SID,CHANNEL_CREATION_DATETIME,NAVAN_CONVERSATION_UUID,GENESYS_CONVERSATION_UUID,FLOW_START_DATETIME,FLOW_END_DATETIME,FLOW_INDEX,IS_FLOW_ABANDONED,BOOKING_UUID,BOOKING_STATUS,BOOKING_TYPE,BOOKING_PROVIDER,BOOKING_MODIFICATION_STATUS,IS_BOOKING_CHANGEABLE,IS_BOOKING_CANCELLABLE,DOMAIN,PRODUCT,TASK,EXPERIENCE,REASON,THINKING,OUTCOME,EXIT_CODE_ARRAY
a82d808625bea8066e04a44a4e90f2f9,cancel_booking,2ac24b1e2663f149b99a34b13075b3f3,a5c63f45-fa70-4269-8a94-ec212ea94952,2025-05-29 16:09:15.323,a5c63f45-fa70-4269-8a94-ec212ea94952,641f4aac-1bed-4330-8925-b9955bff9dfb,2025-05-29 16:22:50.121,2025-05-29 16:23:08.081,2,false,bf35d8fd-fa60-48cd-98d4-244cd558f1e7,ticketed,flight,verteil,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-29 16:23:08.078"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-29 16:23:08.081"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
69c18fd2336820d5093548b944a55c27,cancel_booking,75e669d285dc6a382dea6304a5041fce,f242fea3-6665-4e7f-bd72-9adedbe89756,2025-06-01 14:03:01.138,f242fea3-6665-4e7f-bd72-9adedbe89756,c0e36204-1160-4031-bdcc-376b9d78c8d5,2025-06-01 14:03:42.495,2025-06-01 14:03:55.252,1,false,21fa6811-eb39-43da-bf55-d3f0d68d0ce8,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-06-01 14:03:55.249"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-06-01 14:03:55.252"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
3d0b5e1399c82e1f2230d1109a0d6da8,cancel_booking,3524261d72fe91b0b087fab73a6dc83f,bc5f6700-62a0-4e71-979c-35448e6f235e,2025-06-04 10:48:39.658,bc5f6700-62a0-4e71-979c-35448e6f235e,33a764d2-4317-4b29-b630-56910882643d,2025-06-04 10:52:41.942,2025-06-04 10:53:58.461,2,false,5402a109-582d-428e-b2dd-3498d103a490,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-06-04 10:53:58.457"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-06-04 10:53:58.461"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
63d9a8ad17d663595c0159598a84322e,cancel_booking,2120e8dc5d9ab75437a8b772b2e071e5,73310473-acb8-49ea-8948-c8cbb91ad0cf,2025-05-12 19:32:24.988,73310473-acb8-49ea-8948-c8cbb91ad0cf,517841e1-1b77-437a-b4d8-325b33871cc0,2025-05-12 19:36:37.948,2025-05-12 19:38:39.582,1,false,9a9abc7a-de66-4df3-8fb3-ef84520110f2,voided,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-12 19:38:39.578"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-12 19:38:39.582"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
e44aff008e956c945de6363bd2c5fc54,cancel_booking,aeb4b89d134ddbc5b69278b4af700b90,2764348f-ef20-432c-9b91-8294a2d8e0a9,2025-05-06 07:28:17.414,2764348f-ef20-432c-9b91-8294a2d8e0a9,621e7bd3-29eb-4735-ba80-05a1354c8033,2025-05-06 07:29:29.886,2025-05-06 07:31:21.726,1,false,480fa1a4-f150-4027-afc1-59307ab1922b,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-06 07:31:21.723"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-06 07:31:21.726"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
0e601d6548696c0876e6dd7b3d2513c3,cancel_booking,f7d5b233536d17cbcfde2b4953c39db2,a6fa0a4f-c32b-4135-9fd5-d9aba6be26e7,2025-04-26 03:00:29.534,a6fa0a4f-c32b-4135-9fd5-d9aba6be26e7,5e2f33ab-5d77-4de2-b78d-a13cfb9767a6,2025-04-26 03:01:57.051,2025-04-26 03:02:52.173,1,false,01db7d9e-2c57-4699-bb3e-2a64c32eb727,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-04-26 03:02:52.170"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-04-26 03:02:52.173"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
69738b31c59c1ffd3c2138783a2867e8,cancel_booking,236fc97a79ae214d8757ba7793910c97,a8b3508d-48bf-4080-93db-f63cb9827186,2025-07-28 06:08:22.813,a8b3508d-48bf-4080-93db-f63cb9827186,da16cfb3-879c-4f06-b5b7-06c7912d5bd8,2025-07-28 06:08:57.245,2025-07-28 06:09:51.257,1,false,ea27dd73-aac3-45cb-a551-073dbc2c444c,voided,flight,amadeus,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-07-28 06:09:51.247"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-07-28 06:09:51.257"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
f63189066b6cc65e9ce300f8828f4539,cancel_booking,94e2c2fc017aa1ee25006d136a587745,fd8b5f48-b5e6-40f7-bfa2-3a19bb61ba01,2025-05-31 00:19:39.815,fd8b5f48-b5e6-40f7-bfa2-3a19bb61ba01,6fa2b31e-9d50-4464-bdfd-db66e6bd5c59,2025-05-31 00:20:16.306,2025-05-31 00:22:01.644,1,false,01549be6-4602-4117-8d2d-6f10579c3e93,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-31 00:22:01.639"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-31 00:22:01.644"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
efe9f8cc34b0099688880dc871f17413,cancel_booking,86231392a813bc85e93f6a12eaac1063,9d95e7b2-2ec8-4eb6-a068-dc9551833378,2025-06-30 14:47:28.056,9d95e7b2-2ec8-4eb6-a068-dc9551833378,26990d7a-9606-4001-8f63-4587d22e8d61,2025-06-30 14:52:52.661,2025-06-30 14:53:33.232,2,false,73384ae2-bb1a-4805-aa82-b05f1b18cd5a,ticketed,flight,verteil,airport_control,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-06-30 14:53:33.228"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-06-30 14:53:33.232"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
37a143cfc91e503519b477cc965b62b9,cancel_booking,506cb87e9fc56d23ece186daac1b2565,ebd3801f-63a3-4d51-b534-be5399c6f08b,2025-04-23 13:22:42.178,ebd3801f-63a3-4d51-b534-be5399c6f08b,3d0e5d0c-e482-4c43-89cd-72be29c0858e,2025-04-23 13:23:26.275,2025-04-23 13:24:00.970,1,false,6399d98f-603a-49bb-9279-9ae27a60892c,ticketed,flight,farelogix,,false,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-04-23 13:24:00.966"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-04-23 13:24:00.970"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
528b07416877556ddf033e1b118ac963,cancel_booking,fc6eb828c9762a3b9d7a3bf18fd5e530,0ff83221-ef96-4b0e-a0eb-0e9f56a278bd,2025-05-05 18:13:40.463,0ff83221-ef96-4b0e-a0eb-0e9f56a278bd,7d15fc65-1024-4355-8780-5a05b0cb8e1c,2025-05-05 18:15:07.862,2025-05-05 18:15:11.863,2,false,eb9b530b-5181-4cf7-9a74-f0ba85108e39,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-05 18:15:11.860"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-05 18:15:11.863"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
6599e4929196897bf4d0d831432b4550,cancel_booking,570431d2530d22986ba40bcd841c817c,cbc4d39f-0eec-4ec5-9296-44d01ba62e88,2025-05-05 20:41:10.863,cbc4d39f-0eec-4ec5-9296-44d01ba62e88,06d1ee98-c15c-4bca-8d96-06e7b9bd9ba4,2025-05-05 20:42:50.251,2025-05-05 20:44:05.815,1,false,029d1423-30fc-4b1a-a673-8fc44f74d0b7,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-05 20:44:05.811"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-05 20:44:05.815"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
f822ffaefc1141d2cdc2969fa11b7c74,cancel_booking,d96fb12b877606337c78537b85bbcde9,43562a67-5759-455a-ba53-633dc5b62dcc,2025-06-09 21:48:25.414,43562a67-5759-455a-ba53-633dc5b62dcc,6a8ff0d0-2be8-4603-976d-b77a20a4357f,2025-06-09 21:57:17.118,2025-06-09 21:58:36.801,1,false,d5454e13-50a1-4f0d-9a43-446a92c3ce2f,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-06-09 21:58:36.798"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-06-09 21:58:36.801"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
